"samp_nos","mean_dist","sd_dist","min_S","max_S","mean_PIP","sd_PIP","mean_KL","sd_KL"
10,1.31270674841557,0.164624116904318,0.80268088275354,0.9991002484468,59.3389980136835,6.89307732087295,0.305184721078752,0.0134823487050029
20,1.07463918345815,0.139656944458527,0.97385778938849,0.999268952953018,72.8922975060693,3.33408430553233,0.202669511475337,0.0072009914931153
30,0.964322128631946,0.153784710911216,0.989162776855137,0.999976763327836,79.6766718163761,4.3372575515377,0.144545565981454,0.00667260411945347
40,0.910557528635883,0.107071373520082,0.977333208871438,0.999787251984115,84.9326859412933,4.13371251301175,0.120655974003145,0.00716122421856188
50,0.787859472562156,0.153771183532596,0.964597517077527,0.999971414258638,86.8119620392849,3.25050190218862,0.0963657996557098,0.00548234919086823
60,0.786938965015759,0.0960028937997991,0.980349482478673,0.999370319796914,89.4901787684838,2.50580665045991,0.0806719577493109,0.00407597720340849
70,0.785044604357788,0.166413459298098,0.989986578035281,0.999974520085723,89.7627455307879,1.72859660220442,0.0689553510362756,0.00521517828617071
80,0.7572699430046,0.113013867284702,0.992859306491068,0.998917867478751,90.6587949679982,2.32113358037716,0.0586038145039886,0.00302521059539835
90,0.76540769870253,0.0465816886463414,0.99513598710606,0.999975510385139,91.6000882807327,1.63102818164215,0.0527242618266012,0.00251139395891977
100,0.731112144722016,0.102769902380377,0.988701312781153,0.999863664453785,91.85610240565,1.46293483666363,0.045591206668266,0.00165168499873572
110,0.668519926936885,0.127632558456445,0.981987311494279,0.999653760100917,93.1770028691238,0.985047024913954,0.0424927627818544,0.0035841691906522
120,0.69138214808535,0.0675414277172782,0.997424228348597,0.999974639228774,93.5422644007945,1.79315465853149,0.0394516801384854,0.0031235944929677
130,0.652253645358125,0.135595081052503,0.995869601330905,0.999825996256784,92.7918781725888,2.08855155035636,0.0346652564819399,0.00199762498840182
140,0.625901270118919,0.144066474152778,0.992908978116934,0.999869908237223,93.8115206356213,1.07538903603161,0.0319562761505259,0.00177272450173052
150,0.588907198416797,0.114392165412863,0.994189013397951,0.999995924197876,93.7453100860737,1.56729209619371,0.03024359970136,0.00258301564350866
160,0.565957682351872,0.136220823293071,0.989583490033333,0.999881537683256,94.7086735819907,0.861887828612023,0.0279405148799001,0.00180905337779968
170,0.52934113861217,0.138703635112712,0.995485723497071,0.999979649318451,95.0651070403884,1.58629031139751,0.0262635548490273,0.0023517666167538
180,0.570552859955322,0.064090457309794,0.997646611414194,0.999989076151594,94.4195541822997,1.37122626143207,0.0243131960080333,0.00195650055788256
190,0.541538223282734,0.109149372220037,0.998333939835768,0.999979516596184,95.3487088942838,0.752425490120137,0.0222516936337571,0.00167287864907066
200,0.631002004448526,0.0405044330370078,0.998083531095003,0.999979079826952,95.2670492165085,0.705391850128293,0.0215693568753195,0.00138170762695979
210,0.522692772316233,0.145490429403329,0.998918744727006,0.999976404317445,95.6135510924741,1.27407660710822,0.0195707117931089,0.00159819117861861
220,0.570172295336252,0.0781893622020698,0.998359597422462,0.99991391993093,94.8002648421982,1.07222634631801,0.0179859141203122,0.00143183905102491
230,0.544237817122398,0.0916099684145063,0.998312353653726,0.9999188432893,95.569410726109,0.989763578642631,0.0174715400870365,0.00115722042828965
240,0.541376394303709,0.137826017850251,0.999097041069235,0.999996307778206,95.8530125800044,0.753585355318645,0.0168086886649435,0.00100621650632814
250,0.559519384753565,0.0854838362778393,0.997516172517812,0.999991140761433,96.1928934010152,0.460016131857971,0.0159411468514789,0.00136605172938239
260,0.577277308449424,0.089917700334072,0.998986043959484,0.999999216923242,96.2127565658795,0.705551996135893,0.0151544182827385,0.00114943092826596
270,0.515089983808058,0.122448109773482,0.999618627838402,0.999995873274995,96.2392407856985,1.34160777164561,0.0145601855713214,0.00102721941226201
280,0.445684560842323,0.128765335298052,0.998948248242392,0.999986176623564,96.2602074597219,0.510099023580787,0.0141951111147593,0.000831678936244626
290,0.500922839540606,0.0982384068938954,0.999506486044303,0.99997594201239,96.760097108806,0.717916368714579,0.0136956779401607,0.00121806792580914
300,0.464322012189875,0.14054588296668,0.998022265014693,0.999991891794548,96.5581549326859,0.629515195941417,0.0133986810729307,0.00097856007812063
