"ProfID","x","y","clay_0_30","sand_0_30","silt_0_30"
154,104.293749999594,18.8270833336037,259.787917,410,330.212083
197,104.631249999536,19.3437500001513,251.0539197,400,348.9460803
262,104.489583332893,19.8104166667104,213.0443052,480,306.9556948
2702,104.78124999951,19.8104166667104,259.7128953,430,310.2871047
2706,104.681249999527,18.8895833335893,265.0761832,400,334.9238168
2709,104.752083332848,19.8062500000447,323.9214485,310,366.0785515
2710,104.652083332865,18.7312500002925,274.301052,240,485.698948
2711,103.872916666333,18.7937500002781,234.6745308,540,225.3254692
2712,104.097916666294,19.5020833334481,293.4165153,310,396.5834847
2714,104.727083332852,19.8604166666988,262.3425974,460,277.6574026
2716,104.910416666154,19.5979166667594,295.2268085,230,474.7731915
2718,104.335416666253,19.5354166667738,361.3655581,220,418.6344419
2720,104.906249999488,19.7229166667305,267.7525242,310,422.2474758
2721,105.43958333273,18.7020833336326,301.1552143,320,378.8447857
2723,105.231249999432,19.772916666719,246.4421624,400,353.5578376
2725,104.356249999583,19.7812500000504,254.5546798,430,315.4453202
2726,104.468749999564,19.2562500001715,309.1537367,380,310.8462633
2761,105.406249999402,19.9270833333501,209.5334442,390,400.4665558
2762,104.389583332911,19.8812500000274,224.2753694,470,305.7246306
2764,104.656249999531,19.8354166667046,233.8378479,440,326.1621521
2768,105.393749999404,19.7687500000533,207.1928919,500,292.8071081
2769,105.231249999432,19.5937500000937,218.5770183,360,421.4229817
2770,105.372916666074,19.5979166667594,201.6377822,350,448.3622178
2771,104.91458333282,19.3562500001484,164.9744389,370,465.0255611
2773,104.185416666279,19.7937500000475,233.7394928,360,406.2605072
2774,104.002083332977,19.4354166667968,231.6561713,360,408.3438287
2775,104.439583332902,19.7145833333991,327.4451796,320,352.5548204
2796,104.864583332829,18.7687500002839,292.687741,390,317.312259
2797,105.443749999395,19.3312500001542,335.6255555,320,344.3744445
2798,104.185416666279,19.943750000013,337.6851383,340,322.3148617
2799,105.106249999454,18.7187500002954,287.5833859,340,372.4166141
2800,105.55208333271,19.2895833334971,301.4729415,410,288.5270585
2801,104.177083332947,19.5479166667709,209.5481531,380,410.4518469
2802,105.185416666107,19.5729166667651,281.3745894,370,348.6254106
2803,104.281249999596,18.6520833336441,290.7369102,340,369.2630898
2804,104.010416666309,19.3937500001398,312.9365893,380,307.0634107
2805,105.752083332676,19.0770833335461,274.7229605,430,295.2770395
2806,104.085416666296,19.5520833334366,367.9221804,240,392.0778196
2807,105.360416666077,19.064583333549,320.717317,320,359.282683
2808,104.531249999553,19.418750000134,345.8280344,330,324.1719656
2809,104.481249999561,19.2437500001744,294.6633693,450,255.3366307
2810,105.331249999415,19.8104166667104,290.0579141,310,399.9420859
2811,105.268749999426,18.9187500002493,-4.1367256,650,354.1367256
2812,104.331249999587,19.7645833333876,336.831224,310,353.168776
2813,105.689583332686,19.9729166666729,207.2522363,510,282.7477637
2814,104.618749999538,18.964583333572,179.1331895,690,130.8668105
2815,104.318749999589,19.0687500002147,257.1286087,490,252.8713913
2816,104.347916666251,19.1187500002032,282.6557329,440,277.3442671
2817,105.277083332758,18.5812500003271,270.3211527,400,329.6788473
2818,105.114583332786,18.6729166669726,175.6896445,510,314.3103555
2819,104.714583332855,18.9520833335749,206.0953033,530,263.9046967
2820,105.693749999352,18.7354166669582,257.8034169,380,362.1965831
2821,105.797916666001,18.6187500003184,129.8436633,720,150.1563367
2822,105.53124999938,18.9520833335749,225.0021358,530,244.9978642
2824,105.660416666025,19.6187500000879,1000,0,0
2825,105.556249999376,19.3979166668055,200.654332,550,249.345668
2826,104.202083332943,19.8479166667017,211.1899382,470,318.8100618
2827,105.139583332781,19.4229166667997,232.7846762,440,327.2153238
2828,104.681249999527,19.8604166666988,215.7617314,520,264.2382686
2891,105.497916666053,18.5979166669899,253.7920679,380,366.2079321
2892,104.002083332977,19.4104166668026,240.4269847,340,419.5730153
2911,104.060416666301,19.0729166668804,197.6384754,420,382.3615246
2948,105.472916666057,19.7395833333934,253.8261424,400,346.1738576
51,105.118749999452,19.660416666745,229.6947765,460,310.3052235
6180,104.247916666268,19.1187500002032,209.4967392,410,380.5032608
